cbo,dit,fanin,fanout,lcom,noc,loc,rfc,wmc,totalMethodsQty,protectedMethodsQty,publicMethodsQty,privateMethodsQty,finalFieldsQty,protectedFieldsQty,publicFieldsQty,privateFieldsQty,predicted_bug
11,4,0,11,21,0,54,14,13,7,5,2,0,1,0,0,1,1
1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,6,0,1,1,0,1,0,0,0,1,0,0
0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0
6,1,0,6,0,0,108,9,4,4,0,4,0,1,0,0,1,0
4,5,0,4,10,0,18,2,6,5,1,4,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
0,1,0,0,1,0,12,4,2,2,0,1,0,0,0,3,0,1
4,2,0,4,0,0,14,4,3,3,2,1,0,3,1,0,1,1
5,3,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,0,0,5,0,1,1,0,1,0,0,0,1,0,0
2,1,0,2,0,0,9,0,2,2,0,2,0,1,0,0,1,1
1,2,0,1,0,0,12,2,3,3,0,3,0,1,1,0,0,1
2,1,0,2,0,0,8,0,1,1,0,1,0,0,0,0,0,1
2,1,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0
2,2,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,1,0,3,0,0,13,0,2,2,0,2,0,0,0,1,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
3,1,0,3,0,0,9,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,1,0,7,0,2,2,0,2,0,0,0,0,0,0
1,2,0,1,0,0,9,0,2,2,0,2,0,0,1,0,0,0
0,4,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0
5,2,0,5,0,0,39,6,4,2,0,2,0,2,0,0,2,1
1,2,0,1,0,0,21,2,5,4,0,4,0,2,1,0,1,1
2,1,0,2,1,0,14,0,2,2,0,2,0,0,0,4,0,0
0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0
2,1,0,2,0,0,6,0,1,1,0,1,0,1,0,0,1,1
11,1,1,11,4,0,125,29,11,5,0,3,2,2,0,0,2,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,1,0,3,0,0,6,0,1,1,0,1,0,1,0,0,0,1
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
16,1,10,16,66,0,28,0,12,12,0,12,0,0,0,0,0,0
3,1,0,3,1,0,10,0,2,2,0,0,1,0,0,0,0,1
2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,1,1,6,48,0,154,40,16,12,0,6,6,2,0,0,2,1
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,8,0,2,2,0,2,0,0,0,1,0,0
3,1,0,3,0,0,9,0,2,2,0,2,0,0,0,0,1,1
2,1,0,2,0,0,6,0,1,1,0,1,0,0,1,0,0,0
4,1,0,4,0,0,9,0,2,2,0,2,0,1,0,0,0,1
1,1,0,1,0,0,6,0,1,1,1,0,0,0,0,1,0,1
0,1,0,0,0,0,14,1,4,4,1,3,0,0,1,0,0,1
2,1,0,2,0,0,9,0,1,1,0,1,0,0,0,2,0,0
2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,0,2,0,0,9,0,1,1,0,1,0,0,0,2,0,0
2,1,0,2,1,0,8,0,2,2,0,2,0,0,0,1,0,0
3,1,0,3,0,0,5,0,0,0,0,0,0,0,0,3,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,1,0,34,5,8,6,0,6,0,1,3,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
5,2,0,5,0,0,46,5,2,1,0,1,0,0,0,0,0,0
2,1,0,2,0,0,20,0,7,2,0,1,0,1,0,0,0,1
3,2,0,3,0,0,5,1,1,1,0,1,0,0,0,0,0,1
