index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
8286;3;1;2;3;4;0;16;1;5;4;0;4;0;0;0;1;1;0
8287;5;1;2;5;6;0;45;15;12;4;0;3;1;0;0;0;0;0
8288;1;1;0;1;0;0;16;4;3;2;0;1;0;0;0;0;1;0
8289;5;1;3;5;0;0;71;9;19;13;2;11;0;0;0;0;0;0
8290;10;1;0;10;0;0;47;10;8;5;0;4;1;0;0;0;7;0
8291;7;1;0;7;0;0;20;6;5;5;0;5;0;0;0;0;2;0
8292;1;1;0;1;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8293;3;2;0;3;1;0;10;6;2;2;0;2;0;0;0;0;0;0
8294;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8295;3;1;0;3;0;0;3;0;0;0;0;0;0;0;0;0;1;0
8296;5;2;0;5;45;0;98;14;10;10;0;10;0;0;0;0;0;0
8297;10;2;0;10;0;0;23;14;3;3;0;3;0;0;0;0;2;0
8298;3;1;0;3;3;0;11;0;3;3;0;0;0;0;0;0;0;0
8299;1;5;1;1;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8300;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8301;11;1;0;11;0;0;42;10;12;11;0;10;0;0;0;0;1;1
8302;0;1;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8303;1;1;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
8304;0;1;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;0
8305;1;2;0;1;0;0;6;0;1;1;0;1;0;0;0;0;1;0
8306;1;1;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8307;0;1;0;0;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8308;0;1;0;0;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8309;3;1;0;3;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8310;2;1;0;2;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8311;1;1;0;1;0;0;4;0;0;0;0;0;0;0;0;2;0;0
8312;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8313;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8314;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8315;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8316;2;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0
8317;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8318;4;2;0;4;1;0;27;7;4;3;0;3;0;0;0;0;1;0
8319;0;1;0;0;0;0;9;0;2;2;0;1;1;0;0;0;1;0
8320;7;1;14;7;153;0;20;0;18;18;0;0;0;0;0;0;0;0
